models,roc_auc,precision,recall,accuracy,f1,method
lr,0.6475641025641027,0.538507326007326,0.5604395604395604,0.5770935960591134,0.5476820905786423,cp_decomp_L_sex
rf,0.721419413919414,0.7102813852813853,0.6076923076923076,0.6970443349753694,0.6474208754208755,cp_decomp_L_sex
xgb,0.7417032967032966,0.742997557997558,0.6835164835164835,0.7327586206896551,0.7022317900878621,cp_decomp_L_sex
knn,0.7033745421245421,0.6859806859806861,0.5747252747252747,0.6756157635467981,0.6181538461538463,cp_decomp_L_sex
svm,0.7306776556776556,0.6857142857142857,0.48571428571428577,0.6475369458128079,0.5541056682109314,cp_decomp_L_sex
lr,0.6742948717948718,0.6509090909090909,0.5879120879120879,0.668472906403941,0.6159560219890056,tucker_decomp_L
rf,0.6679578754578754,0.7220346320346319,0.45494505494505494,0.661576354679803,0.5511877519886673,tucker_decomp_L
xgb,0.7172344322344324,0.7047552447552448,0.6362637362637363,0.7032019704433499,0.6648233795190317,tucker_decomp_L
knn,0.663489010989011,0.7029148629148628,0.5296703296703297,0.6758620689655173,0.5945557173566327,tucker_decomp_L
svm,0.6544871794871796,0.6377272727272727,0.48461538461538456,0.6334975369458128,0.5488612836438923,tucker_decomp_L
lr,0.6475641025641027,0.538507326007326,0.5604395604395604,0.5770935960591134,0.5476820905786423,tucker_decomp_L_sex
rf,0.721419413919414,0.7102813852813853,0.6076923076923076,0.6970443349753694,0.6474208754208755,tucker_decomp_L_sex
xgb,0.7417032967032966,0.742997557997558,0.6835164835164835,0.7327586206896551,0.7022317900878621,tucker_decomp_L_sex
knn,0.7033745421245421,0.6859806859806861,0.5747252747252747,0.6756157635467981,0.6181538461538463,tucker_decomp_L_sex
svm,0.7306776556776556,0.6857142857142857,0.48571428571428577,0.6475369458128079,0.5541056682109314,tucker_decomp_L_sex
lr,0.7093498168498169,0.6534615384615385,0.6208791208791209,0.6554187192118228,0.6234182447946534,spect_L
rf,0.615970695970696,0.591082251082251,0.5021978021978022,0.5982758620689655,0.5316655164481252,spect_L
xgb,0.680224358974359,0.6718648018648019,0.5626373626373626,0.6623152709359607,0.6036152253543559,spect_L
knn,0.6583699633699635,0.6416317016317016,0.5615384615384615,0.6485221674876847,0.5974314381270903,spect_L
svm,0.6805952380952381,0.6499999999999999,0.46923076923076923,0.6337438423645321,0.5389641495041952,spect_L
lr,0.7158333333333333,0.6480769230769231,0.665934065934066,0.6763546798029557,0.6564102564102564,k best all
rf,0.7974221611721612,0.7414141414141414,0.7131868131868132,0.7386699507389164,0.7160653540008379,k best all
xgb,0.7972481684981686,0.7503607503607503,0.667032967032967,0.739408866995074,0.7009023569023569,k best all
knn,0.7465934065934066,0.7193598068598068,0.7098901098901099,0.7322660098522167,0.7120280409245926,k best all
svm,0.7448076923076924,0.6823520923520923,0.4999999999999999,0.6549261083743843,0.5721449275362319,k best all
